id_resep,nama_resep,bahan_utama,bahan_lengkap
34,Ati Ampela Kecap,"Ati Ampela, Kecap Manis, Bawang Putih, Jahe, Gula, Garam, Minyak","300g Ati Ampela (rebus potong), 3 sdm Kecap Manis, 4 siung Bawang Putih (cincang), 2 cm Jahe (geprek), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
35,Usus Goreng Crispy,"Usus, Bawang Putih, Jahe, Kunyit, Garam, Minyak","300g Usus ayam (bersihkan), 3 siung Bawang Putih (haluskan), 2 cm Jahe (haluskan), 1 sdt Kunyit bubuk, 1 sdt Garam, Minyak secukupnya"
36,Kikil Pedas,"Kikil, Cabai Merah, Bawang Merah, Bawang Putih, Lengkuas, Serai, Garam, Minyak","400g Kikil (rebus empuk potong), 5 buah Cabai Merah, 5 buah Bawang Merah, 3 siung Bawang Putih, 2 cm Lengkuas (geprek), 1 batang Serai (geprek), 1 sdt Garam, 2 sdm Minyak"
37,Nasi Goreng Ayam,"Nasi, Ayam, Telur, Bawang Putih, Bawang Merah, Kecap Manis, Garam, Minyak","2 piring Nasi, 150g Ayam (potong dadu), 2 butir Telur, 4 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
38,Nasi Goreng Seafood,"Nasi, Udang, Cumi Cumi, Telur, Bawang Putih, Bawang Merah, Kecap Manis, Garam, Minyak","2 piring Nasi, 150g Udang (kupas), 100g Cumi Cumi (cincin), 2 butir Telur, 4 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
39,Nasi Goreng Tempe,"Nasi, Tempe, Telur, Bawang Putih, Bawang Merah, Kecap Manis, Garam, Minyak","2 piring Nasi, 150g Tempe (potong dadu kecil), 2 butir Telur, 4 siung Bawang Putih (cincang), 3 buah Bawang Merah (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
40,Mie Goreng Ayam,"Mie, Ayam, Telur, Bawang Putih, Daun Bawang, Kecap Manis, Saus Tiram, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 150g Ayam (potong dadu), 2 butir Telur, 4 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdm Kecap Manis, 1 sdm Saus Tiram, 1 sdt Garam, 2 sdm Minyak"
41,Mie Goreng Udang,"Mie, Udang, Telur, Bawang Putih, Daun Bawang, Kecap Manis, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 200g Udang (kupas), 2 butir Telur, 4 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
42,Mie Rebus,"Mie, Telur, Bawang Putih, Tomat, Daun Bawang, Kaldu Bubuk, Garam","1 bungkus Mie, 2 butir Telur, 4 siung Bawang Putih (geprek), 1 buah Tomat (potong), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
43,Perkedel Tempe,"Tempe, Telur, Bawang Putih, Daun Bawang, Garam, Minyak","1 papan Tempe (kukus haluskan), 1 butir Telur, 3 siung Bawang Putih (haluskan), 1 batang Daun Bawang (iris halus), 1 sdt Garam, Minyak secukupnya"
44,Tempe Bacem,"Tempe, Kecap Manis, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Gula, Garam","1 papan Tempe (potong kotak), 2 sdm Kecap Manis, 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Gula, 1 sdt Garam"
45,Tahu Bacem,"Tahu, Bawang Merah, Kecap Manis, Bawang Putih, Lengkuas, Daun Salam, Gula, Garam","6 buah Tahu (potong kotak), 2 sdm Kecap Manis, 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Gula, 1 sdt Garam"
46,Tahu Tempe Balado,"Tahu, Tempe, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","4 buah Tahu (potong kotak), 1 papan Tempe (potong kotak), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 3 sdm Minyak"
47,Sambal Goreng Tahu,"Tahu, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Kecap Manis, Garam, Minyak","6 buah Tahu (potong dadu), 5 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
48,Sambal Goreng Tempe,"Tempe, Cabai Merah, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Gula, Garam, Minyak","1 papan Tempe (potong dadu), 5 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
49,Sambal Goreng Kentang,"Kentang, Cabai Merah, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Gula, Garam, Minyak","3 buah Kentang (potong dadu kecil goreng), 5 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
50,Tumis Udang Brokoli,"Udang, Brokoli, Bawang Putih, Bawang Bombay, Saus Tiram, Kecap Asin, Garam, Minyak","250g Udang (kupas), 1 buah Brokoli (potong kuntum), 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 2 sdm Saus Tiram, 1 sdm Kecap Asin, 1 sdt Garam, 2 sdm Minyak"
51,Udang Saus Mentega,"Udang, Mentega, Bawang Putih, Bawang Bombay, Garam","300g Udang (kupas bersihkan), 3 sdm Mentega, 4 siung Bawang Putih (cincang), 1 buah Bawang Bombay (iris), 1 sdt Garam"
52,Salmon Goreng,"Salmon, Bawang Putih, Lemon, Garam, Minyak","2 fillet Salmon, 2 siung Bawang Putih (haluskan), 1 buah Lemon (ambil airnya), 1 sdt Garam, 2 sdm Minyak"
53,Salmon Teriyaki,"Salmon, Kecap Manis, Kecap Asin, Bawang Putih, Jahe, Gula, Mentega","2 fillet Salmon, 2 sdm Kecap Manis, 1 sdm Kecap Asin, 2 siung Bawang Putih (haluskan), 1 cm Jahe (haluskan), 1 sdt Gula, 2 sdm Mentega"
54,Tumis Jamur Bawang Putih,"Jamur, Bawang Putih, Mentega, Daun Bawang, Garam","300g Jamur (iris), 5 siung Bawang Putih (cincang), 2 sdm Mentega, 1 batang Daun Bawang (iris), 1 sdt Garam"
55,Tumis Jagung Wortel,"Jagung, Wortel, Bawang Putih, Daun Bawang, Garam, Minyak","2 buah Jagung (pipil), 2 buah Wortel (potong dadu kecil), 3 siung Bawang Putih (cincang), 1 batang Daun Bawang (iris), 1 sdt Garam, 2 sdm Minyak"
56,Acar Timun,"Timun, Wortel, Bawang Merah, Gula, Garam","2 buah Timun (potong korek api), 1 buah Wortel (potong korek api), 4 buah Bawang Merah (iris tipis), 2 sdt Gula, 1 sdt Garam"
57,Gulai Tahu Tempe,"Tahu, Tempe, Santan, Bawang Merah, Bawang Putih, Kemiri, Kunyit, Serai, Lengkuas, Garam","4 buah Tahu (potong kotak), 1 papan Tempe (potong kotak), 400ml Santan, 5 buah Bawang Merah, 4 siung Bawang Putih, 3 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 1 sdt Garam"
58,Gulai Daging,"Daging Sapi, Santan, Bawang Merah, Bawang Putih, Kemiri, Kunyit, Serai, Lengkuas, Jahe, Garam","500g Daging Sapi (potong kotak), 500ml Santan, 6 buah Bawang Merah, 4 siung Bawang Putih, 4 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 2 cm Jahe, 1 sdt Garam"
59,Gulai Cumi,"Cumi Cumi, Santan, Bawang Merah, Bawang Putih, Kemiri, Kunyit, Serai, Lengkuas, Garam","400g Cumi Cumi (bersihkan cincin), 400ml Santan, 5 buah Bawang Merah, 4 siung Bawang Putih, 3 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Serai (geprek), 2 cm Lengkuas (geprek), 1 sdt Garam"
60,Soto Betawi,"Daging Sapi, Santan, Bawang Merah, Bawang Putih, Jahe, Serai, Kunyit, Kemiri, Tomat, Garam","400g Daging Sapi, 400ml Santan, 5 buah Bawang Merah, 4 siung Bawang Putih, 2 cm Jahe (geprek), 1 batang Serai (geprek), 1 sdt Kunyit bubuk, 3 butir Kemiri, 1 buah Tomat (potong), 1 sdt Garam"
61,Soto Kudus,"Ayam, Bawang Putih, Bawang Merah, Kunyit, Jahe, Serai, Daun Salam, Kaldu Bubuk, Garam","500g Ayam, 4 siung Bawang Putih, 5 buah Bawang Merah, 1 sdt Kunyit bubuk, 2 cm Jahe (geprek), 1 batang Serai (geprek), 2 lembar Daun Salam, 1 sdt Kaldu Bubuk, 1 sdt Garam"
62,Sup Ayam,"Ayam, Wortel, Kentang, Bawang Putih, Bawang Merah, Daun Bawang, Kaldu Bubuk, Garam","500g Ayam (potong 4), 2 buah Wortel (potong bulat), 2 buah Kentang (potong kotak), 4 siung Bawang Putih (geprek), 4 buah Bawang Merah (iris), 1 batang Daun Bawang (iris), 1 sdt Kaldu Bubuk, 1 sdt Garam"
63,Sup Tahu Jamur,"Tahu, Jamur, Wortel, Daun Bawang, Bawang Putih, Kaldu Bubuk, Garam","4 buah Tahu (potong kotak), 200g Jamur (iris), 1 buah Wortel (potong bulat), 1 batang Daun Bawang (iris), 4 siung Bawang Putih (geprek), 1 sdt Kaldu Bubuk, 1 sdt Garam"
64,Tumis Labu Siam,"Labu Siam, Bawang Putih, Bawang Merah, Cabai Hijau, Garam, Minyak","2 buah Labu Siam (kupas potong korek api), 3 siung Bawang Putih (iris), 3 buah Bawang Merah (iris), 3 buah Cabai Hijau (iris serong), 1 sdt Garam, 2 sdm Minyak"
65,Pepes Tahu,"Tahu, Bawang Merah, Bawang Putih, Cabai Merah, Daun Bawang, Kemiri, Kunyit, Garam","4 buah Tahu (hancurkan kasar), 4 buah Bawang Merah, 3 siung Bawang Putih, 3 buah Cabai Merah, 1 batang Daun Bawang (iris), 2 butir Kemiri, 1 sdt Kunyit bubuk, 1 sdt Garam"
66,Pepes Ayam,"Ayam, Bawang Merah, Bawang Putih, Cabai Merah, Kemiri, Kunyit, Serai, Daun Salam, Garam","500g Ayam (potong kecil), 5 buah Bawang Merah, 4 siung Bawang Putih, 4 buah Cabai Merah, 3 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Serai (iris halus), 2 lembar Daun Salam, 1 sdt Garam"
67,Pepes Jamur,"Jamur, Bawang Merah, Bawang Putih, Cabai Merah, Kemiri, Kunyit, Daun Bawang, Garam","300g Jamur (suwir), 4 buah Bawang Merah, 3 siung Bawang Putih, 3 buah Cabai Merah, 2 butir Kemiri, 1 sdt Kunyit bubuk, 1 batang Daun Bawang (iris), 1 sdt Garam"
68,Botok Tempe,"Tempe, Bawang Merah, Bawang Putih, Cabai Merah, Kemiri, Daun Salam, Garam","1 papan Tempe (hancurkan kasar), 4 buah Bawang Merah, 3 siung Bawang Putih, 3 buah Cabai Merah, 2 butir Kemiri, 2 lembar Daun Salam, 1 sdt Garam"
69,Telur Dadar Gulung,"Telur, Daun Bawang, Bawang Putih, Garam, Minyak","3 butir Telur, 1 batang Daun Bawang (iris halus), 2 siung Bawang Putih (haluskan), 1 sdt Garam, 2 sdm Minyak"
70,Telur Mata Sapi,"Telur, Garam, Minyak","2 butir Telur, 0.5 sdt Garam, 1 sdm Minyak"
71,Telur Kecap,"Telur, Kecap Manis, Bawang Putih, Gula, Garam, Minyak","4 butir Telur (rebus kupas), 3 sdm Kecap Manis, 3 siung Bawang Putih (cincang), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
72,Kentang Balado,"Kentang, Cabai Merah, Bawang Merah, Bawang Putih, Tomat, Garam, Minyak","3 buah Kentang (potong dadu goreng), 6 buah Cabai Merah, 4 buah Bawang Merah, 3 siung Bawang Putih, 1 buah Tomat, 1 sdt Garam, 2 sdm Minyak"
73,Kentang Mustofa,"Kentang, Bawang Putih, Cabai Merah, Daun Salam, Gula, Garam, Minyak","3 buah Kentang (iris korek api tipis), 4 siung Bawang Putih (iris tipis), 4 buah Cabai Merah (iris serong), 2 lembar Daun Salam, 1 sdt Gula, 1 sdt Garam, Minyak secukupnya"
74,Ati Ampela Kentang,"Ati Ampela, Kentang, Bawang Merah, Bawang Putih, Cabai Merah, Kecap Manis, Garam, Minyak","300g Ati Ampela (rebus potong), 2 buah Kentang (potong dadu goreng), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (cincang), 3 buah Cabai Merah (iris serong), 2 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
75,Ayam Suir Pedas,"Ayam, Cabai Merah, Bawang Merah, Bawang Putih, Serai, Garam, Minyak","500g Ayam (rebus suwir), 6 buah Cabai Merah, 5 buah Bawang Merah, 4 siung Bawang Putih, 1 batang Serai (geprek), 1 sdt Garam, 2 sdm Minyak"
76,Ayam Suir Kecap,"Ayam, Kecap Manis, Bawang Putih, Bawang Merah, Cabai Merah, Garam, Minyak","500g Ayam (rebus suwir), 3 sdm Kecap Manis, 4 siung Bawang Putih (cincang), 4 buah Bawang Merah (iris), 3 buah Cabai Merah (iris serong), 1 sdt Garam, 2 sdm Minyak"
77,Nasi Uduk,"Nasi, Santan, Serai, Daun Salam, Lengkuas, Garam","2 cangkir Beras (cuci tiriskan), 400ml Santan, 1 batang Serai (geprek), 2 lembar Daun Salam, 2 cm Lengkuas (geprek), 1 sdt Garam"
78,Lontong Sayur,"Nasi, Santan, Labu Siam, Bawang Merah, Bawang Putih, Lengkuas, Daun Salam, Garam","2 buah Lontong (potong-potong), 400ml Santan, 2 buah Labu Siam (potong kotak), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 2 cm Lengkuas (geprek), 2 lembar Daun Salam, 1 sdt Garam"
79,Bubur Ayam,"Nasi, Ayam, Daun Bawang, Bawang Putih, Jahe, Kaldu Bubuk, Garam","1 cangkir Beras, 200g Ayam, 1 batang Daun Bawang (iris), 3 siung Bawang Putih (geprek), 2 cm Jahe (geprek), 1 sdt Kaldu Bubuk, 1 sdt Garam"
80,Mie Ayam,"Mie, Ayam, Daun Bawang, Bawang Putih, Kecap Asin, Saus Tiram, Kaldu Bubuk, Garam, Minyak","1 bungkus Mie (rebus tiriskan), 200g Ayam (potong dadu), 1 batang Daun Bawang (iris), 4 siung Bawang Putih (cincang), 1 sdm Kecap Asin, 1 sdm Saus Tiram, 1 sdt Kaldu Bubuk, 1 sdt Garam, 2 sdm Minyak"
81,Mie Kuah,"Mie, Telur, Daun Bawang, Bawang Putih, Tomat, Kaldu Bubuk, Garam","1 bungkus Mie, 2 butir Telur, 1 batang Daun Bawang (iris), 3 siung Bawang Putih (geprek), 1 buah Tomat (potong), 1 sdt Kaldu Bubuk, 1 sdt Garam"
82,Tumis Sawi Telur,"Sawi, Telur, Bawang Putih, Cabai Merah, Garam, Minyak","1 ikat Sawi (potong-potong), 2 butir Telur (kocok lepas), 3 siung Bawang Putih (iris), 2 buah Cabai Merah (iris serong), 1 sdt Garam, 2 sdm Minyak"
83,Oseng Mercon Tempe,"Tempe, Cabai Merah, Cabai Hijau, Bawang Merah, Bawang Putih, Kecap Manis, Garam, Minyak","1 papan Tempe (potong dadu), 8 buah Cabai Merah (iris), 5 buah Cabai Hijau (iris), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
84,Oseng Mercon Daging,"Daging Sapi, Cabai Merah, Cabai Hijau, Bawang Merah, Bawang Putih, Kecap Manis, Garam, Minyak","300g Daging Sapi (iris tipis), 8 buah Cabai Merah (iris), 5 buah Cabai Hijau (iris), 4 buah Bawang Merah (iris), 3 siung Bawang Putih (iris), 1 sdm Kecap Manis, 1 sdt Garam, 2 sdm Minyak"
85,Usus Kecap,"Usus, Kecap Manis, Bawang Putih, Jahe, Cabai Merah, Gula, Garam, Minyak","300g Usus ayam (rebus bersihkan), 3 sdm Kecap Manis, 4 siung Bawang Putih (cincang), 2 cm Jahe (geprek), 3 buah Cabai Merah (iris serong), 1 sdt Gula, 1 sdt Garam, 2 sdm Minyak"
86,Cumi Saus Tiram,"Cumi Cumi, Saus Tiram, Bawang Bombay, Bawang Putih, Cabai Hijau, Kecap Asin, Garam, Minyak","400g Cumi Cumi (cincin), 2 sdm Saus Tiram, 1 buah Bawang Bombay (iris), 4 siung Bawang Putih (cincang), 3 buah Cabai Hijau (iris serong), 1 sdm Kecap Asin, 1 sdt Garam, 2 sdm Minyak"
87,Salmon Saus Lemon Mentega,"Salmon, Mentega, Lemon, Bawang Putih, Garam","2 fillet Salmon, 3 sdm Mentega, 1 buah Lemon (ambil airnya), 3 siung Bawang Putih (cincang), 1 sdt Garam"
88,Ayam Rica Rica,"Ayam, Cabai Merah, Cabai Hijau, Bawang Merah, Bawang Putih, Jahe, Serai, Tomat, Garam, Minyak","1 ekor Ayam (potong 8), 8 buah Cabai Merah, 5 buah Cabai Hijau, 5 buah Bawang Merah, 4 siung Bawang Putih, 3 cm Jahe, 1 batang Serai (geprek), 2 buah Tomat, 1 sdt Garam, 3 sdm Minyak"
